PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Chris Lammons;DB;KC;8;5;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;15.50;199
Cody Davis;DB;NE;8;5;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;14.70;200
Craig James;DB;PHI;12;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;14.50;201
Jordan Richards;DB;BAL;6;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;14.50;202
DeVante Bausby;DB;DEN;9;4;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;14.00;203
Clayton Fejedelem;DB;MIA;13;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14.00;204
Jeremy Reaves;DB;WAS;10;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;14.00;205
Kevin Toliver;DB;CHI;11;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;14.00;206
Jordan Dangerfield;DB;PIT;6;7;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;13.50;207
Rolan Milligan;DB;IND;11;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;13.50;208
Ryan Smith;DB;TB;10;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;13.50;209
Keion Crossen;DB;HOU;10;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;13.00;210
A.J. Moore;DB;HOU;9;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;13.00;211
Keisean Nixon;DB;LV;12;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13.00;212
Nate Brooks;DB;MIA;10;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;12.50;213
Dane Cruikshank;DB;TEN;6;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;12.00;214
Danny Johnson;DB;WAS;10;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11.50;215
David Long;DB;LA;9;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;11.50;216
Tony Brown;DB;CIN;7;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11.00;217
Deshazor Everett;DB;WAS;9;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11.00;218
Josh Jackson;DB;GB;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11.00;219
Justin Hardee;DB;NO;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10.50;220
Tavierre Thomas;DB;CLE;4;5;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;10.50;221
Nick Scott;DB;LA;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10.40;222
Deon Bush;DB;CHI;8;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;10.00;223
Quincy Wilson;DB;NYJ;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10.00;224
Nate Ebner;DB;NYG;7;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9.50;225
Tae Hayes;DB;MIA;4;3;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;9.50;226
Cre'von LeBlanc;DB;PHI;7;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;9.50;227
Chris Banjo;DB;ARI;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;228
Breon Borders;DB;PIT;6;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;9.00;229
Joshua Kalu;DB;TEN;6;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;9.00;230
Jamal Carter;DB;ATL;5;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8.50;231
Kareem Orr;DB;TEN;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.50;232
C.J. Goodwin;DB;DAL;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;233
Montre Hartage;DB;NYG;6;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8.00;234
Dallin Leavitt;DB;LV;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8.00;235
Raven Greene;DB;GB;6;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7.50;236
Jaquan Johnson;DB;BUF;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.50;237
Shakial Taylor;DB;DEN;6;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7.50;238
Sean Chandler;DB;NYG;3;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7.00;239
DeShon Elliott;DB;BAL;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7.00;240
Neiko Thorpe;DB;SEA;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;241
Artie Burns;DB;CHI;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.50;242
Simeon Thomas;DB;WAS;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.50;243
Charles Washington;DB;ARI;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.50;244
Ken Crawley;DB;LV;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;245
J.T. Hassell;DB;CLE;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;246
Marcus Epps;DB;PHI;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.50;247
Matthias Farley;DB;NYJ;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.50;248
Jordan Miller;DB;ATL;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5.50;249
C.J. Moore;DB;DET;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.50;250
Joejuan Williams;DB;NE;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5.50;251
Kyron Brown;DB;FA;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;252
Sean Davis;DB;WAS;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;253
Sharrod Neasman;DB;ATL;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5.00;254
Parry Nickerson;DB;JAX;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;255
Rudy Ford;DB;PHI;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.50;256
DeAndre Houston-Carson;DB;CHI;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.50;257
Bennett Jackson;DB;NYJ;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.50;258
Brandon Watson;DB;JAX;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.50;259
Johnathan Abram;DB;LV;1;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4.00;260
Cornell Armstrong;DB;HOU;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.50;261
Torry McTyer;DB;CIN;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3.50;262
Donte' Deayon;DB;LA;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;263
Robert Jackson;DB;CLE;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;264
Natrell Jamerson;DB;CAR;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;265
Dontae Johnson;DB;SF;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;266
Justin Layne;DB;PIT;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;267
Greg Mabin;DB;CIN;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3.00;268
Linden Stephens;DB;SEA;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;269
Mazzi Wilkins;DB;TB;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;270
Alex Brown;DB;KC;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2.50;271
Saquan Hampton;DB;NO;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2.50;272
Isaiah Johnson;DB;LV;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2.50;273
Nasir Adderley;DB;LAC;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;274
T.J. Green;DB;CAR;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;275
Nathan Meadors;DB;MIN;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;276
Doug Middleton;DB;JAX;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;277
Xavier Crawford;DB;CHI;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.50;278
Josh Jones;DB;JAX;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.50;279
Donovan Wilson;DB;DAL;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.50;280
John Franklin;DB;TB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.10;281
Iman Marshall;DB;BAL;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;282
Maurice Smith;DB;WAS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;283
Rashaan Gaulden;DB;NYG;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;284
Trayvon Henderson;DB;CIN;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;285
Shalom Luani;DB;HOU;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;286
Tremon Smith;DB;PHI;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.50;287
Delrick Abrams;DB;ATL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;288
DeMarkus Acy;DB;SF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;289
Jamal Adams;DB;NYJ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;290
Jahleel Addae;DB;HOU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;291
Walt Aikens;DB;MIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;292
Adonis Alexander;DB;LA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;293
Maurice Alexander;DB;BUF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;294
Robert Alford;DB;ARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;295
Brian Allen;DB;SEA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;296
Marcus Allen;DB;PIT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;297
Adrian Amos;DB;GB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;298
DaShaun Amos;DB;GB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;299
Prince Amukamara;DB;CHI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;300
Christian Angulo;DB;NYG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;301
Eli Apple;DB;NO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;302
Damon Arnette;DB;LV;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;303
Grayland Arnold;DB;PHI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;304
Dravon Askew-Henry;DB;NYG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;305
Johnson Bademosi;DB;NO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;306
Hakeem Bailey;DB;KC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;307
Derrick Baity;DB;FA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;308
Budda Baker;DB;ARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;309
Trajan Bandy;DB;PIT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;310
Luq Barcoo;DB;JAX;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;311
Essang Bassey;DB;DEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;312
John Battle;DB;PIT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;313
Vonn Bell;DB;CIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;314
Elijah Benton;DB;CLE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;315
Henry Black;DB;GB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;316
Julian Blackmon;DB;IND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;317
Quin Blanding;DB;CAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;318
Briean Boddy-Calhoun;DB;IND;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;319
Terrell Bonds;DB;BAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;320
Jeremy Boykins;DB;SEA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;321
John Brannon;DB;LAC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;322
Kentrell Brice;DB;CHI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;323
Tramaine Brock;DB;TEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;324
Antoine Brooks Jr.;DB;PIT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;325
Jordan Brown;DB;LV;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;326
Myles Bryant;DB;NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;327
Terrell Burgess;DB;LA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;328
Morgan Burnett;DB;CLE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;329
Deante Burton;DB;DAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;330
Bryce Callahan;DB;DEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;331
Ibraheim Campbell;DB;TEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;332
Tevaughn Campbell;DB;LAC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;333
Andre Chachere;DB;FA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;334
Anthony Chesley;DB;HOU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;335
Jeremy Chinn;DB;CAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;336
Marqui Christian;DB;LA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;337
Patrick Chung;DB;NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;338
Anthony Cioffi;DB;NYJ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;339
Morris Claiborne;DB;KC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;340
Nevelle Clarke;DB;MIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;341
Chris Claybrooks;DB;JAX;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;342
Rodney Clemons;DB;KC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;343
Ha Ha Clinton-Dix;DB;DAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;344
Ross Cockrell;DB;CAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;345
Brian Cole II;DB;MIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;346
Douglas Coleman III;DB;DEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;347
Kurt Coleman;DB;BUF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;348
Landon Collins;DB;WAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;349
Aaron Colvin;DB;WAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;350
Chris Cooper;DB;ATL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;351
Blake Countess;DB;NYJ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;352
Kamren Curl;DB;WAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;353
Johnathan Cyprien;DB;ATL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;354
Cameron Dantzler;DB;MIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;355
Ashtyn Davis;DB;NYJ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;356
Jalen Davis;DB;ARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;357
Javaris Davis;DB;KC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;358
Grant Delpit;DB;CLE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;359
Stephen Denmark;DB;CHI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;360
Darqueze Dennard;DB;CIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;361
Marc-Antoine Dequoy;DB;GB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;362
Quandre Diggs;DB;SEA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;363
Trevon Diggs;DB;DAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;364
Jeremiah Dinson;DB;DET;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;365
D'Cota Dixon;DB;TB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;366
Makinton Dorleant;DB;LV;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;367
Myles Dorn;DB;MIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;368
Kyle Dugger;DB;NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;369
Kenneth Durden;DB;TEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;370
Terrell Edmunds;DB;PIT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;371
Chris Edwards;DB;SF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;372
Corn Elder;DB;CAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;373
Jalen Elliott;DB;DET;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;374
Javien Elliott;DB;CAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;375
Tino Ellis;DB;NO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;376
Malcolm Elmore;DB;NYG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;377
Kabion Ento;DB;GB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;378
Justin Evans;DB;TB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;379
Rojesterman Farris;DB;ATL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;380
Mark Fields;DB;MIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;381
