PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Neville Hewitt;LB;NYJ;44;31;3;6;2;-;-;-;-;-;-;-;-;5;8;13;-;87.93;55
A.J. Klein;LB;BUF;47;22;2.5;5;1;1;1;1;-;-;-;-;-;2;5;14;-;87.47;56
Sean Lee;LB;DAL;55;31;1;4;1;-;-;-;-;-;-;-;-;4;1;25;-;85.83;57
Anthony Hitchens;LB;KC;51;37;2;4;-;1;-;-;-;-;-;-;-;1;4;-;-;84.50;58
David Mayo;LB;NYG;52;30;2;5;-;-;1;-;-;-;-;-;-;2;2;-;-;83.50;59
Von Miller;LB;DEN;33;13;8;10;-;-;-;-;-;-;-;-;-;2;20;-;-;82.50;60
Haason Reddick;LB;ARI;43;31;1;6;-;-;1;-;-;-;-;-;-;6;4;-;3;79.60;61
Montez Sweat;LB;WAS;31;19;7;8;-;2;-;-;-;-;-;-;-;2;13;-;-;79.00;62
Damien Wilson;LB;KC;52;29;1.5;3;-;1;-;-;-;-;-;-;-;1;4;-;-;79.00;63
Patrick Onwuasor;LB;NYJ;48;16;3;5;-;1;-;-;-;-;-;-;-;1;6;-;-;75.50;64
Drue Tranquill;LB;LAC;61;14;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;75.00;65
Nicholas Morrow;LB;LV;53;20;-;2;1;-;-;-;-;-;-;-;-;4;4;11;-;74.37;66
Jarrad Davis;LB;DET;38;25;2;4;-;3;1;-;-;-;-;-;-;1;5;-;-;72.00;67
Bobby Okereke;LB;IND;48;17;1;2;-;2;1;-;-;-;-;1;-;2;1;-;-;72.00;68
Denzel Perryman;LB;LAC;50;18;-;5;1;1;-;-;-;-;-;-;-;1;-;-;-;71.50;69
Ryan Anderson;LB;WAS;30;14;4;4;-;5;2;-;-;-;-;-;-;1;9;-;-;70.50;70
Danny Trevathan;LB;CHI;50;20;1;2;-;1;-;-;-;-;-;-;-;1;4;-;-;70.00;71
Germaine Pratt;LB;CIN;50;26;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;69.00;72
Samson Ebukam;LB;LA;26;22;4.5;5;-;1;2;-;-;-;-;-;-;4;10;-;-;68.50;73
Vince Biegel;LB;MIA;27;32;2.5;7;1;-;-;-;-;-;-;-;-;1;12;7;-;67.73;74
Myles Jack;LB;JAX;42;24;0.5;3;1;-;-;-;-;-;-;-;-;4;2;14;-;66.97;75
Jahlani Tavai;LB;DET;37;21;2;5;1;1;-;-;-;-;-;-;-;2;3;2;-;66.57;76
Lorenzo Carter;LB;NYG;25;20;4.5;6;-;1;-;-;-;-;-;-;-;5;13;-;-;66.50;77
Mario Addison;LB;BUF;20;14;9.5;6;-;2;-;-;-;-;-;-;-;-;14;-;-;66.00;78
Leighton Vander Esch;LB;DAL;43;29;0.5;1;-;1;-;-;-;-;-;-;-;3;1;-;-;65.50;79
Joe Walker;LB;SF;41;24;-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;63.00;80
Shaun Dion Hamilton;LB;WAS;37;12;1;5;1;1;1;-;-;-;-;-;-;2;2;-;-;61.50;81
Brennan Scarlett;LB;HOU;31;20;3.5;3;-;2;-;-;-;-;-;-;-;1;6;-;-;60.50;82
John Simon;LB;NE;28;16;4;3;1;1;-;-;-;-;-;-;-;4;7;6;-;60.20;83
Raekwon McMillan;LB;MIA;35;37;-;3;-;-;-;-;-;-;-;-;-;1;2;-;-;60.00;84
