PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Ameer Abdullah;RB;MIN;-;-;-;115;15;88;1;-;-;-;1;38.30;72
Qadree Ollison;RB;ATL;-;-;-;50;1;7;-;-;-;-;1;33.70;73
C.J. Ham;RB;MIN;-;-;-;17;17;149;1;-;-;-;1;33.10;74
Patrick Ricard;RB;BAL;-;-;-;-;8;47;1;-;-;-;-;32.70;75
Ito Smith;RB;ATL;-;-;-;106;11;87;-;-;-;-;-;30.80;76
Travis Homer;RB;SEA;-;-;-;114;11;56;-;-;-;-;-;29.50;77
Reggie Bonnafon;RB;CAR;-;-;-;116;6;57;-;-;-;-;-;28.80;78
Darwin Thompson;RB;KC;-;-;-;128;9;43;-;-;-;-;-;28.60;79
Myles Gaskin;RB;MIA;-;-;-;133;7;51;-;-;-;-;-;27.90;80
Justin Jackson;RB;LAC;-;-;-;200;9;22;-;-;-;-;-;26.70;81
Derek Watt;RB;PIT;-;-;-;10;3;32;-;-;-;-;-;26.20;82
Trey Edmunds;RB;PIT;-;-;-;92;6;48;-;-;-;-;-;25.07;83
T.J. Yeldon;RB;BUF;-;-;-;63;13;124;-;-;-;-;1;24.70;84
Darrell Henderson;RB;LA;-;-;-;147;4;37;-;-;-;-;-;21.40;85
Danny Vitale;RB;NE;-;-;-;3;7;97;-;-;-;-;-;19.50;86
Alec Ingold;RB;LV;-;-;-;17;6;44;1;-;-;-;-;18.60;87
Nick Bellore;RB;SEA;-;-;-;-;2;23;1;-;-;-;-;18.30;88
D'Ernest Johnson;RB;CLE;-;-;-;21;6;71;-;-;-;-;-;18.20;89
Elijhaa Penny;RB;NYG;-;-;-;39;2;9;-;-;-;-;-;15.30;90
Wes Hills;RB;DET;-;-;-;21;2;1;-;-;-;-;-;15.20;91
Andy Janovich;RB;CLE;-;-;-;1;5;42;-;-;-;-;-;13.80;92
Kerrith Whyte;RB;PIT;-;-;-;122;1;9;-;-;-;-;-;13.60;93
Keith Smith;RB;ATL;-;-;-;8;1;13;-;-;-;-;-;13.10;94
Taiwan Jones;RB;BUF;-;-;-;40;1;9;-;-;-;-;-;11.90;95
Alex Armah;RB;CAR;-;-;-;11;2;6;-;-;-;-;-;10.70;96
Anthony Sherman;RB;KC;-;-;-;9;2;22;-;-;-;-;-;10.60;97
Tra Carson;RB;DET;-;-;-;48;4;18;-;-;-;-;-;9.60;98
Khari Blasingame;RB;TEN;-;-;-;-;4;54;-;-;-;-;-;9.40;99
Mike Davis;RB;CAR;-;-;-;27;7;22;-;-;-;-;-;9.40;100
Dwayne Washington;RB;NO;-;-;-;60;1;6;-;-;-;-;-;9.10;101
Devine Ozigbo;RB;JAX;-;-;-;27;3;23;-;-;-;-;-;8.50;102
Patrick DiMarco;RB;BUF;-;-;-;7;5;41;-;-;-;-;-;8.30;103
Jon Hilliman;RB;NYG;-;-;-;91;3;1;-;-;-;-;2;6.70;104
Buddy Howell;RB;HOU;-;-;-;10;-;-;-;-;-;-;-;5.50;105
T.J. Logan;RB;TB;-;-;-;10;2;13;-;-;-;-;-;5.30;106
Samaje Perine;RB;CIN;-;-;-;16;-;-;-;-;-;-;-;5.10;107
Rod Smith;RB;LV;-;-;-;-;-;-;-;-;-;-;-;5.00;108
Nick Bawden;RB;DET;-;-;-;-;4;17;-;-;-;-;-;4.70;109
Michael Burton;RB;NO;-;-;-;-;-;-;-;-;-;-;-;4.50;110
Cullen Gillaspia;RB;HOU;-;-;-;-;-;-;-;-;-;-;-;4.50;111
Trenton Cannon;RB;NYJ;-;-;-;-;-;-;-;-;-;-;-;4.03;112
Jordan Scarlett;RB;CAR;-;-;-;9;-;-;-;-;-;-;-;3.90;113
Ryan Nall;RB;CHI;-;-;-;8;-;-;-;-;-;-;-;3.80;114
De'Lance Turner;RB;MIA;-;-;-;6;-;-;-;-;-;-;-;3.10;115
Jamize Olawale;RB;DAL;-;-;-;-;-;-;-;-;-;-;-;3.00;116
Dalyn Dawkins;RB;TEN;-;-;-;26;-;-;-;-;-;-;-;2.60;117
Tyler Ervin;RB;GB;-;-;-;10;2;11;-;-;-;-;2;2.10;118
D.J. Foster;RB;ARI;-;-;-;-;-;-;-;-;-;-;-;2.00;119
Roosevelt Nix;RB;IND;-;-;-;-;2;4;-;-;-;-;-;1.40;120
James Develin;RB;NE;-;-;-;3;-;-;-;-;-;-;-;1.30;121
Ricky Ortiz;RB;NO;-;-;-;-;1;8;-;-;-;-;-;1.30;122
Josh Adams;RB;NYJ;-;-;-;12;-;-;-;-;-;-;-;1.20;123
Damien Harris;RB;NE;-;-;-;12;-;-;-;-;-;-;-;1.20;124
Dexter Williams;RB;GB;-;-;-;11;-;-;-;-;-;-;-;1.10;125
Josh Ferguson;RB;WAS;-;-;-;9;-;-;-;-;-;-;-;0.90;126
John Kelly;RB;LA;-;-;-;9;-;-;-;-;-;-;-;0.90;127
Tony Brooks-James;RB;MIN;-;-;-;7;-;-;-;-;-;-;-;0.70;128
Salvon Ahmed;RB;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;129
Cam Akers;RB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;130
Bruce Anderson;RB;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;131
Darius Anderson;RB;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;132
Rodney Anderson;RB;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;133
George Aston;RB;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;134
Jake Bargas;RB;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;135
Levante Bellamy;RB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;136
Eno Benjamin;RB;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;137
Darius Bradwell;RB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;138
Matt Breida;RB;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;139
Raymond Calais;RB;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;140
Patrick Carr;RB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;141
Adam Choice;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;142
Jordan Chunn;RB;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;143
Nathan Cottrell;RB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;144
Chandler Cox;RB;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;145
Jeremy Cox;RB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;146
Damarea Crockett;RB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;147
DeeJay Dallas;RB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;148
Mikey Daniel;RB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;149
A.J. Dillon;RB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;150
Kenneth Dixon;RB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;151
J.K. Dobbins;RB;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;152
Clyde Edwards-Helaire;RB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;153
Darrynton Evans;RB;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;154
Tavien Feaster;RB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;155
Devonta Freeman;RB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;156
James Gilbert;RB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;157
Melvin Gordon;RB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;158
Derrick Gore;RB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;159
Frank Gore;RB;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;160
Darrin Hall;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;161
JaMycal Hasty;RB;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;162
Brian Herrien;RB;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;163
Karan Higdon;RB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;164
Brian Hill;RB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;165
Josh Hokit;RB;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;166
Bobby Holly;RB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;167
Elijah Holyfield;RB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;168
Parker Houston;RB;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;169
Kareem Hunt;RB;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;170
Jason Huntley;RB;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;171
Carlos Hyde;RB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;172
Darius Jackson;RB;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;173
Anthony Jones;RB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;174
Tony Jones;RB;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;175
Xavier Jones;RB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;176
Joshua Kelley;RB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;177
Adrian Killins Jr.;RB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;178
Javon Leake;RB;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;179
Benny LeMay;RB;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;180
Bryce Love;RB;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;181
John Lovett;RB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;182
Marshawn Lynch;RB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;183
Marcus Marshall;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;184
Devante Mays;RB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;185
LeSean McCoy;RB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;186
Anthony McFarland;RB;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;187
Taj McGowan;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;188
Elijah McGuire;RB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;189
Jerick McKinnon;RB;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;190
Jeremy McNichols;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;191
Lamar Miller;RB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;192
Taquan Mizzell;RB;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;193
Jalin Moore;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;194
