PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Carson Meier;TE;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;171
David Morgan;TE;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;172
Thaddeus Moss;TE;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;173
Chris Myarick;TE;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;174
Albert Okwuegbunam;TE;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;175
Donald Parham;TE;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;176
Colby Parkinson;TE;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;177
Jared Pinkney;TE;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;178
Kevin Rader;TE;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;179
Dax Raymond;TE;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;180
Jordan Reed;TE;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;181
Caleb Repp;TE;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;182
Giovanni Ricci;TE;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;183
Jared Rice;TE;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;184
Michael Roberts;TE;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;185
Richard Rodgers;TE;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;186
Charles Scarff;TE;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;187
Mason Schreck;TE;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;188
Christian Scotland-Williamson;TE;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;189
Luke Sellers;TE;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;190
Scott Simonson;TE;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;191
Matt Sokol;TE;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;192
Dylan Stapleton;TE;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;193
Luke Stocker;TE;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;194
Stephen Sullivan;TE;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;195
Cam Sutton;TE;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;196
Geoff Swaim;TE;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;197
Colin Thompson;TE;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;198
Noah Togiai;TE;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;199
Adam Trautman;TE;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;200
Jason Vander Laan;TE;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;201
Andrew Vollert;TE;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;202
Clive Walford;TE;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;203
Delanie Walker;TE;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;204
