PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Ricardo Louis;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;317
Austin Mack;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;318
Josh Malone;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;319
Zimari Manning;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;320
Jordan Matthews;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;321
Jalen McCleskey;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;322
Kelvin McKnight;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;323
Rashad Medaris;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;324
Kirk Merritt;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;325
Marken Michel;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;326
Jaydon Mickens;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;327
Denzel Mims;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;328
Bryant Mitchell;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;329
Dillon Mitchell;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;330
Sean Modster;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;331
D.J. Montgomery;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;332
Darnell Mooney;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;333
David Moore;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;334
J'Mon Moore;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;335
JoJo Natson;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;336
K.J. Osborn;WR;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;337
Aaron Parker;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;338
Dezmon Patmon;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;339
Charone Peake;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;340
Josh Pearson;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;341
Donovan Peoples-Jones;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;342
Malcolm Perry;WR;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;343
Devin Phelps;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;344
De'Mornay Pierson-El;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;345
Michael Pittman;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;346
Shawn Poindexter;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;347
Brandon Polk;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;348
Brandon Powell;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;349
James Proche;WR;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;350
Anthony Ratliff-Williams;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;351
Jalen Reagor;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;352
Joe Reed;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;353
A.J. Richardson;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;354
Paul Richardson;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;355
Sean Riley;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;356
Chester Rogers;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;357
Kendrick Rogers;WR;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;358
Devin Ross;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;359
Marvelle Ross;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;360
Chris Rowland;WR;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;361
Henry Ruggs III;WR;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;362
Spencer Schnell;WR;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;363
Dalton Schoen;WR;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;364
Artavis Scott;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;365
Justice Shelton-Mosley;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;366
Laviska Shenault Jr.;WR;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;367
Russell Shepard;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;368
David Sills;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;369
Tyler Simmons;WR;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;370
Equanimeous St. Brown;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;371
Darrell Stewart;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;372
Freddie Swain;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;373
Khalil Tate;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;374
Malik Taylor;WR;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;375
Taywan Taylor;WR;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;376
Trent Taylor;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;377
Demaryius Thomas;WR;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;378
Jeff Thomas;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;379
Chris Thompson;WR;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;380
Cody Thompson;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;381
Trevion Thompson;WR;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;382
Malik Turner;WR;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;383
Jordan Veasy;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;384
Ben Victor;WR;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;385
JoJo Ward;WR;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;386
Scotty Washington;WR;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;387
Quez Watkins;WR;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;388
Jester Weah;WR;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;389
Nsimba Webster;WR;LA;-;-;-;-;-;-;-;-;-;-;1;0.00;390
Alex Wesley;WR;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;391
Antoine Wesley;WR;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;392
Cody White;WR;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;393
Reggie White Jr.;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;394
Tim White;WR;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;395
Isaac Whitney;WR;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;396
Chad Williams;WR;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;397
Juwann Winfree;WR;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;398
Easop Winston;WR;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;399
Jarius Wright;WR;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;400
Terry Wright;WR;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;401
Isaiah Zuber;WR;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;402
Darrius Shepherd;WR;GB;-;-;-;-;1;1;-;-;-;-;1;-0.40;403
Quincy Enunwa;WR;NYJ;-;-;-;-;1;-4;-;-;-;-;1;-1.90;404
Greg Dortch;WR;LA;-;-;-;-;-;-;-;-;-;-;1;-2.00;405
Ray-Ray McCloud;WR;BUF;-;-;-;-;-;-;-;-;-;-;3;-4.00;406
