PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
David Fales;QB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;71
Joe Flacco;QB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;72
Jake Fromm;QB;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;73
Blaine Gabbert;QB;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;74
Mike Glennon;QB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;75
Anthony Gordon;QB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;76
Chad Henne;QB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;77
Justin Herbert;QB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;78
Taysom Hill;QB;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;79
Tyler Huntley;QB;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;80
Jalen Hurts;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;81
Josh Johnson;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;82
Colin Kaepernick;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;83
Chad Kelly;QB;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;84
Cody Kessler;QB;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;85
DeShone Kizer;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;86
Kyle Lauletta;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;87
Brian Lewerke;QB;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;88
Jordan Love;QB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;89
Josh Love;QB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;90
Jake Luton;QB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;91
Paxton Lynch;QB;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;92
Josh McCown;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;93
Cole McDonald;QB;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;94
Alex McGough;QB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;95
Steven Montez;QB;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;96
Matt Moore;QB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;97
James Morgan;QB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;98
Jalen Morton;QB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;99
Riley Neal;QB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;100
Cam Newton;QB;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;101
Bryce Perkins;QB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;102
Nathan Peterman;QB;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;103
Jake Rudock;QB;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;104
Cooper Rush;QB;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;105
Broc Rutter;QB;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;106
Brett Rypien;QB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;107
Kyle Shurmur;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;108
Trevor Siemian;QB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;109
Matt Simms;QB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;110
Reid Sinnett;QB;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;111
Alex Smith;QB;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;112
Geno Smith;QB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;113
J'Mar Smith;QB;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;114
Nate Stanley;QB;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;115
Drew Stanton;QB;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;116
Tommy Stevens;QB;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;117
Easton Stick;QB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;118
Chris Streveler;QB;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;119
Nate Sudfeld;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;120
Jordan Ta'amu;QB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;121
Tua Tagovailoa;QB;MIA;-;-;-;-;-;-;-;-;-;-;-;0.00;122
Clayton Thorson;QB;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;123
Nick Tiano;QB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;124
