Pick,Round,PlayerName,Pos/Team,WasKepper,KeeperValue
233,20,Darrynton Evans,RB - TEN,No,20
234,20,Steven Sims,WR - WAS,No,20
235,20,Brian Hill,RB - ATL,No,20
236,20,Nyheim Hines,RB - IND,No,20
237,20,Jason Pierre-Paul,DL - TB,No,20
238,20,Alshon Jeffery,WR - PHI,No,20
239,20,Devonta Freeman,RB,No,20
240,20,Ke'Shawn Vaughn,RB - TB,No,20
241,21,Robbie Gould,K - SF,No,21
242,21,Shaquil Barrett,LB - TB,No,21
243,21,Dede Westbrook,WR - JAX,No,21
244,21,Dante Fowler Jr.,DL - ATL,No,21
245,21,Zane Gonzalez,K - ARI,No,21
246,21,Denzel Mims,WR - NYJ,No,21
247,21,Marquez Valdes-Scantling,WR - GB,No,21
248,21,Matt Prater,K - DET,No,21
249,21,Dallas Goedert,TE - PHI,No,21
250,21,O.J. Howard,TE - TB,No,21
251,21,Greg Zuerlein,K - DAL,No,21
252,21,DeVante Parker,WR - MIA,Yes,10
253,22,Harrison Butker,K - KC,No,22
254,22,Trey Flowers,DL - DET,No,22
255,22,Everson Griffen,DL - DET,No,22
256,22,Jake Elliott,K - PHI,No,22
257,22,D.J. Chark,WR - JAX,No,22
258,22,Giovani Bernard,RB - CIN,No,22
259,22,Jack Doyle,TE - IND,No,22
260,22,James Washington,WR - PIT,No,22
261,22,Ian Thomas,TE - CAR,No,22
262,22,James Robinson,RB - JAX,No,22
263,22,Justin Houston,DL - IND,No,22
264,22,Logan Ryan,DB - NYG,No,22
265,23,Daniel Jones,QB - NYG,No,23
266,23,Terrell Edmunds,DB - PIT,No,23
267,23,Matt Gay,K - LA,No,23
268,23,A.J. Johnson,LB - DEN,No,23
269,23,Todd Davis,LB - MIN,No,23
270,23,John Ross,WR - CIN,No,23
271,23,Justin Reid,DB - HOU,No,23
272,23,A.J. Brown,WR - TEN,Yes,11
273,23,Shawn Williams,DB - CIN,No,23
274,23,Avery Williamson,LB - PIT,No,23
275,23,Terry McLaurin,WR - WAS,Yes,11
276,23,Tre'Davious White,DB - BUF,No,23
