id,round,lastName,firstName,position,team,keeper,keeperVale
54559,21,Gay,Matt,PK,Los Angeles Rams,False,21
63618,21,Reagor,Jalen,WR,Philadelphia Eagles,False,21
31086,21,Williams,Damien,RB,Atlanta Falcons,False,21
24889,21,Koo,Younghoe,PK,Atlanta Falcons,False,21
2975,21,Collins Sr.,Jamie,LB,New England Patriots,False,21
1965,22,Ingram II,Mark,RB,New Orleans Saints,False,22
63714,22,Highsmith,Alex,LB,Pittsburgh Steelers,False,22
66958,22,Horn,Jaycee,DB,Carolina Panthers,False,22
46873,22,Crowder,Jamison,WR,Buffalo Bills,False,22
17927,22,Ogbah,Emmanuel,DL,Miami Dolphins,False,22
807,22,Wright,K.J.,LB,Las Vegas Raiders,False,22
54685,22,Slayton,Darius,WR,New York Giants,False,22
63763,22,Hamler,KJ,WR,Denver Broncos,False,22
31350,22,Zuerlein,Greg,PK,New York Jets,False,22
31857,22,Cobb,Randall,WR,Green Bay Packers,False,22
18219,22,Campbell,De&#39;Vondre,LB,Green Bay Packers,False,22
63698,22,Peoples-Jones,Donovan,WR,Cleveland Browns,False,22
63600,23,Tagovailoa,Tua,QB,Miami Dolphins,False,23
54624,23,Gaskin,Myles,RB,Miami Dolphins,True,11
36328,23,Sanders,Jason,PK,Miami Dolphins,False,23
63628,23,Simmons,Isaiah,LB,Arizona Cardinals,False,23
63774,23,Gay,Willie,LB,Kansas City Chiefs,False,23
31422,23,Gould,Robbie,PK,San Francisco 49ers,False,23
46581,23,Davis,Corey,WR,New York Jets,True,11
63742,23,Robinson,James,RB,Jacksonville Jaguars,True,11
1812,23,Ryan,Matt,QB,Indianapolis Colts,False,23
63738,23,Blankenship,Rodrigo,PK,Indianapolis Colts,False,23
67256,23,Funk,Jake,RB,Los Angeles Rams,False,23
47290,23,Davis,Mike,RB,Baltimore Ravens,True,11
