Pick;Round;PlayerName;Pos/Team;WasKepper;KeeperValue
135;12;Zach Cunningham;LB - HOU;No;12
136;12;Tyrann Mathieu;DB - KC;No;12
137;12;Dante Fowler;DL - LA;No;12
138;12;Antoine Bethea;DB - NYG;No;12
139;12;Reshad Jones;DB - MIA;No;12
140;12;Jadeveon Clowney;LB - SEA;No;12
141;12;Malcolm Jenkins;DB - PHI;No;12
142;12;Trey Flowers;DL - DET;No;12
143;12;Demario Davis;LB - NO;No;12
144;12;Dante Pettis;WR - SF;No;12
145;13;Sony Michel;RB - NE;Yes;6
146;13;Tyler Lockett;WR - SEA;Yes;6
147;13;Carlos Dunlap;DL - CIN;No;13
148;13;Lorenzo Alexander;LB - BUF;No;13
149;13;Marquise Goodwin;WR - SF;No;13
150;13;Jordan Howard;RB - PHI;No;13
151;13;Frank Clark;DL - KC;No;13
152;13;Nick Chubb;RB - CLE;Yes;6
153;13;Marlon Mack;RB - IND;Yes;6
154;13;Damon Harrison;DL - DET;No;13
155;13;Justin Reid;DB - HOU;No;13
156;13;Jordan Poyer;DB - BUF;No;13
157;14;Kevin Byard;DB - TEN;No;14
158;14;Golden Tate;WR - NYG;No;14
159;14;Royce Freeman;RB - DEN;No;14
160;14;Alec Ogletree;LB - NYG;No;14
161;14;Ha Ha Clinton-Dix;DB - CHI;No;14
162;14;Cameron Heyward;DL - PIT;No;14
163;14;Cam Newton;QB - CAR;No;14
164;14;Alexander Mattison;RB - MIN;No;14
165;14;Drew Brees;QB - NO;No;14
166;14;DeSean Jackson;WR - PHI;No;14
167;14;James Conner;RB - PIT;Yes;7
168;14;Kyle Fuller;DB - CHI;No;14
169;15;Chris Jones;DL - KC;No;15
170;15;Dee Ford;DL - SF;No;15
171;15;Rashaad Penny;RB - SEA;No;15
172;15;Peyton Barber;RB - TB;No;15
173;15;Aaron Jones;RB - GB;Yes;7
174;15;Kalen Ballage;RB - MIA;No;15
175;15;Bradley McDougald;DB - SEA;No;15
176;15;Marquise Brown;WR - BAL;No;15
177;15;Clayton Geathers;DB - IND;No;15
178;15;Donte Moncrief;WR;No;15
179;15;Dion Lewis;RB - TEN;No;15
180;15;Chris Herndon;TE - NYJ;No;15
181;16;James Washington;WR - PIT;No;16
182;16;Jessie Bates;DB - CIN;No;16
183;16;John Brown;WR - BUF;No;16
184;16;C.J. Anderson;RB;No;16
185;16;Kenny Stills;WR - HOU;No;16
186;16;D.K. Metcalf;WR - SEA;No;16
187;16;Everson Griffen;DL - MIN;No;16
188;16;Carson Wentz;QB - PHI;No;16
189;16;Hunter Renfrow;WR - LV;No;16
190;16;Jaylen Samuels;RB - PIT;No;16
191;16;Justice Hill;RB - BAL;No;16
192;16;Olivier Vernon;DL - CLE;No;16
193;17;Tony Pollard;RB - DAL;No;17
194;17;Patrick Mahomes;QB - KC;Yes;8
195;17;Carlos Hyde;RB - HOU;No;17
196;17;Justin Tucker;K - BAL;No;17
197;17;Greg Olsen;TE - CAR;No;17
198;17;Delanie Walker;TE - TEN;No;17
199;17;Greg Zuerlein;K - LA;No;17
200;17;Kareem Hunt;RB - CLE;No;17
201;17;Eric Ebron;TE - IND;No;17
202;17;Russell Wilson;QB - SEA;No;17
203;17;Ben Roethlisberger;QB - PIT;No;17
204;17;Devin Funchess;WR - IND;No;17
205;18;Harrison Butker;K - KC;No;18
206;18;DeVante Parker;WR - MIA;No;18
207;18;Malcolm Brown;RB - LA;No;18
