first_name,last_name,team_full_name,position,round,keeper_value
Brian,Thomas Jr.,Jacksonville Jaguars,WR,13,6
Ray,Davis,Buffalo Bills,RB,13,6
Christian,Watson,Green Bay Packers,WR,13,6
Jaylen,Warren,Pittsburgh Steelers,RB,13,6
DeAndre,Hopkins,Baltimore Ravens,WR,13,6
Tyjae,Spears,Tennessee Titans,RB,13,6
T.J.,Edwards,Chicago Bears,LB,13,6
T.J.,Watt,Pittsburgh Steelers,LB,13,6
Rome,Odunze,Chicago Bears,WR,13,6
Antoine,Winfield Jr.,Tampa Bay Buccaneers,DB,13,6
Derwin,James Jr.,Los Angeles Chargers,DB,14,7
Alex,Singleton,Denver Broncos,LB,14,7
Jessie,Bates III,Atlanta Falcons,DB,14,7
Josh,Hines-Allen,Jacksonville Jaguars,DL,14,7
Tyler,Lockett,Tennessee Titans,WR,14,7
Gus,Edwards,Los Angeles Chargers,RB,14,7
Azeez,Al-Shaair,Houston Texans,LB,14,7
Rashid,Shaheed,New Orleans Saints,WR,14,7
Brock,Bowers,Las Vegas Raiders,TE,14,7
Kyle,Hamilton,Baltimore Ravens,DB,14,7
Keon,Coleman,Buffalo Bills,WR,15,7
Jaire,Alexander,Baltimore Ravens,DB,15,7
Jaquan,Brisker,Chicago Bears,DB,15,7
Jakobi,Meyers,Las Vegas Raiders,WR,15,7
Nick,Bolton,Kansas City Chiefs,LB,15,7
Brian,Burns,New York Giants,LB,15,7
Budda,Baker,Arizona Cardinals,DB,15,7
Austin,Ekeler,Washington Redskins,RB,15,7
Blake,Corum,Los Angeles Rams,RB,15,7
DeForest,Buckner,Indianapolis Colts,DL,15,7
Jonathan,Greenard,Minnesota Vikings,LB,16,8
Patrick,Queen,Pittsburgh Steelers,LB,16,8
Khalil,Shakir,Buffalo Bills,WR,16,8
Kyle,Dugger,New England Patriots,DB,16,8
Brian,Branch,Detroit Lions,DB,16,8
Derrick,Brown,Carolina Panthers,DL,16,8
Bobby,Wagner,Washington Redskins,LB,16,8
Josh,Metellus,Minnesota Vikings,DB,16,8
Daniel,Jones,Indianapolis Colts,QB,16,8
Terrel,Bernard,Buffalo Bills,LB,16,8
Quay,Walker,Green Bay Packers,LB,17,8
Evan,McPherson,Cincinnati Bengals,PK,17,8
Chuba,Hubbard,Carolina Panthers,RB,17,8
Rico,Dowdle,Carolina Panthers,RB,17,8
Chase,Brown,Cincinnati Bengals,RB,17,8
Devon,Witherspoon,Seattle Seahawks,DB,17,8
Romeo,Doubs,Green Bay Packers,WR,17,8
T.J.,Hockenson,Minnesota Vikings,TE,17,8
J.K.,Dobbins,Denver Broncos,RB,17,8
Ezekiel,Elliott,Los Angeles Chargers,RB,17,8
Joshua,Palmer,Buffalo Bills,WR,18,9
Jeffery,Simmons,Tennessee Titans,DL,18,9
C.J.,Mosley,New York Jets,LB,18,9
Tyler,Allgeier,Atlanta Falcons,RB,18,9
Jameson,Williams,Detroit Lions,WR,18,9
Reed,Blankenship,Philadelphia Eagles,DB,18,9
Camryn,Bynum,Indianapolis Colts,DB,18,9
Jaleel,McLaughlin,Denver Broncos,RB,18,9
Trey,Hendrickson,Cincinnati Bengals,DL,18,9
Jerry,Jeudy,Cleveland Browns,WR,18,9
Ja&#39;Lynn,Polk,New England Patriots,WR,19,9
Trey,Benson,Arizona Cardinals,RB,19,9
Gabe,Davis,Jacksonville Jaguars,WR,19,9
Will,Anderson Jr.,Houston Texans,DL,19,9
Brandin,Cooks,New Orleans Saints,WR,19,9
Harrison,Butker,Kansas City Chiefs,PK,19,9
Daron,Payne,Washington Redskins,DL,19,9
Julian,Love,Seattle Seahawks,DB,19,9
Kamren,Curl,Los Angeles Rams,DB,19,9
Lavonte,David,Tampa Bay Buccaneers,LB,19,9
Tremaine,Edmunds,Chicago Bears,LB,20,10
Adonai,Mitchell,Indianapolis Colts,WR,20,10
Carl,Granderson,New Orleans Saints,DL,20,10
Greg,Rousseau,Buffalo Bills,DL,20,10
Curtis,Samuel,Buffalo Bills,WR,20,10
Zach,Charbonnet,Seattle Seahawks,RB,20,10
Hollywood,Brown,Kansas City Chiefs,WR,20,10
Dontayvion,Wicks,Green Bay Packers,WR,20,10
Bo,Nix,Denver Broncos,QB,20,10
Ty,Chandler,Minnesota Vikings,RB,20,10
Brandon,Aubrey,Dallas Cowboys,PK,21,10
Jaylen,Wright,Miami Dolphins,RB,21,10
Kayvon,Thibodeaux,New York Giants,LB,21,10
Justin,Tucker,Baltimore Ravens,PK,21,10
Minkah,Fitzpatrick,Miami Dolphins,DB,21,10
Zach,Sieler,Miami Dolphins,DL,21,10
Will,Levis,Tennessee Titans,QB,21,10
Mike,Williams,Los Angeles Chargers,WR,21,10
Xavier,McKinney,Green Bay Packers,DB,21,10
David,Njoku,Cleveland Browns,TE,21,10
Jake,Moody,San Francisco 49ers,PK,22,11
Ka&#39;imi,Fairbairn,Houston Texans,PK,22,11
Cameron,Dicker,Los Angeles Chargers,PK,22,11
Matt,Gay,Washington Redskins,PK,22,11
Antonio,Gibson,New England Patriots,RB,22,11
Darnell,Mooney,Atlanta Falcons,WR,22,11
Jalen,Pitre,Houston Texans,DB,22,11
Younghoe,Koo,Atlanta Falcons,PK,22,11
Bryan,Cook,Kansas City Chiefs,DB,22,11
Jeremy,Chinn,Las Vegas Raiders,DB,22,11
